;link;lyrics;title
0;http://www.metrolyrics.com/97-bonnie-and-clyde-lyrics-eminem.html;Baby, your dada loves you And I'ma always be here for you No matter what happens You're all I got in this world I would never give you up for nothing Nobody in this world is ever gonna keep you from me I love you C'mon Hai-Hai, we going to the beach Grab a couple of toys and let Dada strap you in the car seat Oh, where's Mama? She's taking a little nap in the trunk Oh, that smell? Dada must've runned over a skunk Now, I know what you're thinking It's kind of late to go swimmin' But you know your Mama, she's one of those type of women that do crazy things And if she don't get her way, she'll throw a fit Don't play with Dada's toy knife, honey, let go of it And don't look so upset, why you acting bashful? Don't you wanna help Dada build a sandcastle? And Mama said she wants to show how far she can float And don't worry about that little boo-boo on her throat It's just a little scratch, it don't hurt Her was eating dinner while you were sweeping and spilled ketchup on her shirt Mama's messy, ain't she? We'll let her wash off in the water And me and you can pway by ourselves, can't we? Just the two of us, just the two of us And when we ride Just the two of us, just the two of us Just you and I Just the two of us, just the two of us And when we ride Just the two of us, just the two of us See, honey There's a place called heaven and a place called hell A place called prison and a place called jail And Dada's probably on his way to all of 'em except one 'Cause Mama's got a new husband and a stepson And you don't want a brother, do ya? Maybe when you're old enough to understand a little better I'll explain it to ya But for now, we'll just say Mama was real, real bad Was being mean to Dad and made him real, real mad But I still feel sad that I put her on timeout Sit back in your chair, honey, quit trying to climb out I told you it's okay, Hai-Hai, want a ba-ba? Take a night-night? Nan-a-boo, goo-goo ga-ga? Her make poo-poo ca-ca? Dada change your didee Clean the baby up so her can take a nighty-nighty Your dad'll wake her up as soon as we get to the water '97 Bonnie and Clyde Me and my daughter Just the two of us, just the two of us And when we ride Just the two of us, just the two of us Just you and I Just the two of us, just the two of us And when we ride Just the two of us, just the two of us Just you and I Wake up, sweepyhead, we're here, before we pway We're gonna take Mama for a wittle walk along the pier Baby, don't cry, honey, don't get the wrong idea Mama's too sweepy to hear you screaming in her ear That's why you can't get her to wake, but don't worry Dada made a nice bed for Mommy at the bottom of the lake Here, you wanna help Dada tie a rope around this rock? We'll tie it to her footsie then we'll roll her off the dock Ready now, here we go, on the count of free One, two, free, whee! There goes Mama, splashing in the water No more fighting with Dad, no more restraining order No more stepdada, no more new brother Blow her kisses bye-bye, tell Mama you wuv her Now we'll go play in the sand, build a castle and junk But first, just help Dad with two more things out the trunk Just the two of us, just the two of us And when we ride Just the two of us, just the two of us Just you and I Just the two of us, just the two of us And when we ride Just the two of us, just the two of us Just you and I Just me and you, baby, is all we need in this world Just me and you Your dada will always be here for you Your dada's always gonna love you Remember that If you ever need me I'm always be here for you If you ever need anything, just ask Dada will be right there Your dada loves you I love you, baby;Eminem - '97 Bonnie And Clyde
1;http://www.metrolyrics.com/1-shot-2-shot-lyrics-eminem.html;;Eminem - 1 Shot 2 Shot
2;http://www.metrolyrics.com/14-amityville-lyrics-eminem.html;"Kill Dah-dum, dah-dum, dum Dah-dum, dah-dum, duh-da-da-da-da Kill Dah-dum, dah-dum, dum Dah-dum, dah-dum, dum Kill Mentally ill from Amityville Accidentally kill your family still Thinkin' he won't? God-damnit he will Mentally ill from Amityville I get lifted and spin till I'm half-twisted Feet planted and stand with a grin full of chapped lipstick Pen full of ink, think sinful and rap sick shit Shrink pencil me in for my last visit Drink gin till my chin's full of splashed whiskers Hash whiskey and ash till I slap bitches Ask Bizzy, he's been here the past six years Mash with me you'll get in imagine this Mentally ill from Amityville Accidentally kill your family still Thinkin' he won't? God-damnit he will Mentally ill from Amityville Mentally ill from Amityville Accidentally kill your family still Thinkin' he won't? God-damnit he will Mentally ill from Amityville I fucked my cousin in his asshole, slit my mother's throat Guess who Slim Shady just signed to Interscope? My little sister's birthday, she'll remember me For a gift I had ten of my boys take her virginity And bitches know me as a horny-ass freak Their mother wasn't raped, I ate her pussy while she was 'sleep Pissy-drunk, throwin' up in the urinal ""You fuckin' homo"", that's what I said at my dad's funeral Mentally ill from Amityville Accidentally kill your family still Thinkin' he won't? God-damnit he will Mentally ill from Amityville Mentally ill from Amityville Accidentally kill your family still Thinkin' he won't? God-damnit he will Mentally ill from Amityville That's why the city is filled With a bunch of fuckin' idiots still That's why the first motherfucker poppin' Some shit he gets killed That's why we don't call it Detroit We call it Amityville You can get capped after just havin' a cavity filled That's why we're crowned the murder capital still This ain't Detroit, this is motherfuckin' Hamburger Hill! We don't do drivebys, we park in front of houses and shoot And when the police come we fuckin' shoot it out with them too That's the mentality here, that's the reality here Did I just hear somebody say they wanna challenge me here? While I'm holdin' a pistol with this many calibres here? Plus some registration that just made this shit valid this year? 'Cause once I snap I can't be held accountable for my actions That's when accidents happen When a thousand bullets come at your house And collapse the foundation around you And they found you and your family in it God damnit he meant it when he tells you Mentally ill from Amityville Accidentally kill your family still Thinkin' he won't? God-damnit he will Mentally ill from Amityville Mentally ill from Amityville Accidentally kill your family still Thinkin' he won't? God-damnit he will Mentally ill from Amityville Dum, tah-dum Ta-dah-da, dum, tah-dum Ta-dah-da, dum, tah-dum Ta-dah-da, dum, tah-dum Ta-dah-da, dum, tah-dum Ta-dah-da, dum, tah-dum Ta-dah-da, dum, tah-dum Ta-dah-da, dum, tah-dum Ta-dah-da, dum";Eminem - 14) Amityville
3;http://www.metrolyrics.com/25-to-life-lyrics-eminem.html;Too late for the other side Caught in a chase 25 to life Too late for the other side Caught in a chase 25 to life (Yeah) Too late (I can't keep chasing em I'm taking my life back) Caught in a chase 25 to life I don't think she understands the sacrifices that I made Maybe if this bitch had acted right I would've stayed But I've already wasted over half of my life I would've laid Down and died for you I no longer cry for you No more pain bitch you Took me for granted took my heart and ran it straight into the planet Into the dirt I can no longer stand it Now my respect I demand it Imma take control of this relationship Command it, and imma be the boss of you now goddamnit And what I mean is that I will no longer let you control me So you better hear me out this much you owe me I gave up my life for you, totally devoted to you while I've stayed Faithful all the way this is how I fucking get repaid Look at how I dress fucking baggy sweats, go to work a mess Always in a rush to get back to you I ain't heard you yet Not even once say you appreciate me I deserve respect I've done my best to give you nothing less than perfectness And I know that if I end this I'll no longer have nothing left But you keep treating me like a staircase it's time to fucking step And I wont be coming back so don't hold your fucking breath You know what you've done no need to go in depth I told you, you'd be sorry if I fucking left I'd laugh while you wept Hows it feel now, yeah, funny ain't it, you neglected me Did me a favor although my spirit free you've set But a special place for you in my heart I have kept It's unfortunate but it's Too late for the other side (Yeah) Caught in a chase 25 to life (Can't take no more) Too late for the other side Caught in a chase 25 to life I feel like when I bend over backwards for you all you do is laugh Cause that ain't good enough you expect me to fold myself in half Til I snap Don't think I'm loyal All I do is rap How can I moonlight on the side I have no life outside of that Don't I give you enough of my time You don't think so, do you? Jealous when I spend time with the girls Why I'm married to you still man I don't know But tonight I'm serving you with papers I'm divorcing you Go marry someone else and make em famous And take away their freedom like you did to me Treat em like you don't need them and they ain't worthy of you Feed em the same shit that you made me eat I'm moving on forget you oh Now I'm special? I didn't feel special when I was with you All I ever felt was this Helplessness Imprisoned by a selfish bitch Chew me up and spit me out I fell for this so many times It's ridiculous And still I stick with this I'm sick of this but in my sickness and addiction You're addictive as they get Evil as they come vindictive as they make em My friends keep asking me why I can't just walk away from I'm addicted To the pain, the stress, the drama I'm drawn in so I guess imma mess Cursed and blessed But this time imma Ain't changing my mind I'm climbing out this abyss You screaming as I walk out that I'll be missed But when you spoke of people who meant the most to you You left me off your list Fuck you hip-hop I'm leaving you, my life sentence is served bitch And it's just Too late for the other side Caught in a chase 25 to life (I'm gone, man) Too late for the other side Caught in a chase 25 to life Too late Caught in a chase 25 to life;Eminem - 25 To Life
4;http://www.metrolyrics.com/25-to-life-remix-lyrics-eminem.html;Too late for the other side Caught in a chase 25 to life Too late for the other side Caught in a chase 25 to life (Yeah) Too late (I can't keep chasing em I'm taking my life back) Caught in a chase 25 to life I don't think she understands the sacrifices that I made Maybe if this bitch had acted right I would've stayed But I've already wasted over half of my life I would've laid Down and died for you I no longer cry for you No more pain bitch you Took me for granted took my heart and ran it straight into the planet Into the dirt I can no longer stand it Now my respect I demand it Imma take control of this relationship Command it, and imma be the boss of you now goddamnit And what I mean is that I will no longer let you control me So you better hear me out this much you owe me I gave up my life for you, totally devoted to you while I've stayed Faithful all the way this is how I fucking get repaid Look at how I dress fucking baggy sweats, go to work a mess Always in a rush to get back to you I ain't heard you yet Not even once say you appreciate me I deserve respect I've done my best to give you nothing less than perfectness And I know that if I end this I'll no longer have nothing left But you keep treating me like a staircase it's time to fucking step And I wont be coming back so don't hold your fucking breath You know what you've done no need to go in depth I told you, you'd be sorry if I fucking left I'd laugh while you wept Hows it feel now, yeah, funny ain't it, you neglected me Did me a favor although my spirit free you've set But a special place for you in my heart I have kept It's unfortunate but it's Too late for the other side (Yeah) Caught in a chase 25 to life (Can't take no more) Too late for the other side Caught in a chase 25 to life I feel like when I bend over backwards for you all you do is laugh Cause that ain't good enough you expect me to fold myself in half Til I snap Don't think I'm loyal All I do is rap How can I moonlight on the side I have no life outside of that Don't I give you enough of my time You don't think so, do you? Jealous when I spend time with the girls Why I'm married to you still man I don't know But tonight I'm serving you with papers I'm divorcing you Go marry someone else and make em famous And take away their freedom like you did to me Treat em like you don't need them and they ain't worthy of you Feed em the same shit that you made me eat I'm moving on forget you oh Now I'm special? I didn't feel special when I was with you All I ever felt was this Helplessness Imprisoned by a selfish bitch Chew me up and spit me out I fell for this so many times It's ridiculous And still I stick with this I'm sick of this but in my sickness and addiction You're addictive as they get Evil as they come vindictive as they make em My friends keep asking me why I can't just walk away from I'm addicted To the pain, the stress, the drama I'm drawn in so I guess imma mess Cursed and blessed But this time imma Ain't changing my mind I'm climbing out this abyss You screaming as I walk out that I'll be missed But when you spoke of people who meant the most to you You left me off your list Fuck you hip-hop I'm leaving you, my life sentence is served bitch And it's just Too late for the other side Caught in a chase 25 to life (I'm gone, man) Too late for the other side Caught in a chase 25 to life Too late Caught in a chase 25 to life;Eminem - 25 To Life (Remix)
5;http://www.metrolyrics.com/3-am-lyrics-eminem.html;There is no escaping There is no place to hide you scream someone save me but they don't pay no mind You're walkin' down a horror corridor It's almost 4 in the mornin' and your in a Nightmare it's horrible Right there's the coroner Waitin' for you to turn the corner So he can corner ya', you're a goner He's on to ya', out the corner of his cornea He just saw you run, all you want is to rest 'Cause you can't run anymore, you're done All he wants is to kill you in front of an audience While everybody is watching in the party, applauding it Here I sit while I'm caught up in deep thought again Contemplating my next plot again Swallowing the Calotapin While I'm nodding in and out on the ottoman At the Ramada Inn holding onto the pill bottle then Lick my finger and swirl it round the bottom And make sure I got all of it, wake up naked At McDonald's with blood all over me Dead bodies behind the counter, shit Guess I must've just blacked out again, not again It's 3 A.M. in the morning Put my key in the door and Bodies laying all over the floor and I don't remember how they got there But I guess I must've killed 'em (Killed 'em) I said Its 3 AM in the morning Put my keys in the door and Bodies laying all over the floor and I don't remember how they got here But i guess i must've killed 'em (Killed 'em) Sitting nude in my living room It's almost noon, I wonder what's on the tube Maybe they'll show some boobs Surfing every channel until I find Hannah Montana Then I reach for the aloe and lanolin Bust all over the wall paneling Dismantling every candle on top Of the fire place mantle and grab my flannel And my bandanna then Kiss the naked mannequin man again You can see him standing in my front window If you look in, I'm just a hooligan who's used to Using hallucinogens, causing illusions again Brain contusions again, cutting and bruising the skin Razors, scissors, and pins, Jesus, when does it end? Phases that I go through, dazed and I'm so confused Days that I don't know who, gave these molecules to me What am I gonna do? Hey, the prodigal son The godfather for one Very methodical when I slaughter them It's 3 A.M. in the morning Put my key in the door and Bodies laying all over the floor and I don't remember how they got there But I guess I must've killed 'em (Killed 'em) I said It's 3 AM in the morning Put my keys in the door and I don't remember how they got here But i guess i must've killed 'em (Killed 'em) She puts the lotion in the bucket It puts the lotion on the skin Or else it gets the hose again She puts the lotion in the bucket It puts the lotion on the skin I cut and I slash slice and gash Last night was a blast I can't quite remember when I had that Much fun off a half-pint of a Jack My last vic and a half, a flashlight up Kim Kardashian's ass, I remember the first time I dismembered a family member, December I think it was, I was having drinks with my cousin I wrapped him in Christmas lights Pushed him into the stinking tub Cut him up into pieces and just When I went to drink his blood I thought I oughta' drink his bathwater that oughta' be fun That's when my days of serial murder manslaughter begun The sight of blood excites me that might be an artery son Your blood curdling screams just don't seem to bother me none It's 3 A.M. and here I come so you should probably run A secret passageway around here, man There's got to be one, oh no, there's probably none He can scream all that he wants, top of his lungs But ain't no stopping me from chopping him up (Up) It's 3 A.M. in the morning Put my key in the door and Bodies laying all over the floor and I don't remember how they got there But I guess I must've killed 'em (Killed 'em);Eminem - 3 A.m.
6;http://www.metrolyrics.com/313-lyrics-eminem.html;"(feat. Eye-Kyu I'm getting mad love, I'm snuggling hugs Struggling thugs, smuggling drugs Juggling jobs, guzzling jugs So here's a toast to federal checks Hetero sex, unaffordable medical debts We travel in packs, unravelin' facts and gravel in cracks To find babbling max gaffling tracks I grapple an axe for them bafflin' acts Of mysterious stab-in-the-backs who dabble in wax Still in my yard when I sculpted The culprit that stole shit'll end up with his skull split Then I buried the hatchet, I carry the fat shit Butterfingers is here when it's necessary to scratch it5 Baby, all I wanna do is swallow one or two Smoke a little bit and follow one of you Back home when the party ends So tonight I'm dropping naughty hints To the finest women in the audience8 'Cause we came here to do this tonight We don't wanna fight, we don't want no one feelin' uptight 'Cause we came here to do this tonight 'Til the mornin' light, hope that everyone's feelin' alright Ayo, biters are like tarantulas, vandalous Living as scandalous as a television evangelist8 But I can handle this, I'm the rhyme biter crime fighter Caped crusader, taking care of undeserving lime lighters I think we live in an era meant for me Experimentally I found a way to spreadthe terror mentally When I stumbled upon this resolution By using a special fusion of chemical solution for this fresh illusion You couldn't see me with binoculars I'm armed like an octopus4 Step on stage and you'll get socked and pushed Talking that junk like you had Black Bart at your back Come to battle me and you get smacked as hard as you act4 I represent it and will have a referee in it Every minute so when I win it you never resent it4 I'm forever demented Come up with funk: I'll never be scented You got the point when I cleverly sent it Eminem is headed skyward15, for those who thought That I would make you bored6and treat you like a piece of plywood I've got miracle lyrical capability all in me With the agility to escape a killer bee colony5 So get your cameras and capture how miraculous I rap for all you Draculas and showed you all how wack you was9 I meant it as a diss, cause you don't posses the pizazz of this I'm hazardous enough already as it is Without you adding fuel to the fire; I'm cruel to the liar Who fails to recognize my reign and hail rule to the sire Clinical studies show that I'm cynical5 There's no one who's identical to my fresh and authentic flow6 I'm sure the party people can agree That I'm enchanting rhythm romantically Freaking vocals so frantically So throw your hands up in the atmosphere And let them know the only party that was phat was here";Eminem - 313
7;http://www.metrolyrics.com/50-ways-lyrics-eminem.html;"verse 1: you probably gonna think that i'm talking about you and you goddamn right i am look at you, this is the minimal i could diss you subliminally, but i think criminal instinct has pushed me to the brink, my pussy does it stink he still loves me cause he puts me in his ink he does, doesn't he, still is, isn't he? nah, i'm just playing tug of war with his heart cause he misses me i can still fuck him and leave him whenever i feel frisky and is no risk of disease cause he ain't with anyone is he? this bitch really thinks she can get me if she still wants me, driving across country strapped him to the front seat, missing all the front teeth thinking to herself when's the next time he's gonna punch me? i told this cunt she's gonna over-do it once and once she does, she was stuffed up in a trunk crunch, he scrunched her up in a ball bunched up nice and comfy fuck around get dumped up in a lake 'fore you dump me you cunning little cunt, deceitful witch you thought you had me, 'till my shrink told me this hook: the problem is all inside your head she said to me the answer is easy if you take it logically i'd like to help you in your struggle to be free there must be 50 ways to leave your lover verse 2: i feel like a serial killer i keep dumping bodies in the lake, i'ma get caught and send up the river i shiver when i think of the company i keep how do i know she ain't gonna kill me when i sleep i shriek, every time she hands me something to drink sex kept us together, when we slept together every-thing was all better, she made me feel like a king slowly, she began lowering my self-esteem she go to the club and not answer the phone when i call her and i just bought her a truck for 50,000 dollars accused me of doing drugs and screaming ""holla"" then i find a bag of coke on her, some marijuana and all i know is every time i go to them hiding spots, wherever she hides her blow the little bags of dope, there was a pile of coke that's growing smaller, and that was just a while ago and i wouldn't even let on like i know what was i supposed to do, call her out on it, we just argue say she put it down on purpose and flipped the whole script ooh she's a manipulative evil bitch a cunning little cunt, little deceitful witch she thought she had me, 'till my shrink told me this hook: the problem is all inside your head she said to me the answer is easy if you take it logically i'd like to help you in your struggle to be free there must be 50 ways to leave your lover";Eminem - 50 Ways
8;http://www.metrolyrics.com/8-mile-lyrics-eminem.html;"Sometimes I just feel like, quittin' I still might Why do I put up this fight, why do I still write Sometimes it's hard enough just dealin' with real life Sometimes I wanna jump on stage and just kill mics And show these people what my level of skill's like But I'm still white, sometimes I just hate life Somethin ain't right, hit the brake lights Case of the stage fright, drawin a blank like Da-duh-duh-da-da, it ain't my fault Great big eyeballs, my insides crawl And I clam up I just slam shut I just can't do it, my whole manhood's Just been stripped, I have just been vicked So I must then get, off the bus then split Man fuck this shit; yo, I'm goin' the fuck home World on my shoulders as I run back to this 8 Mile Road I'm a man, I'mma make a new plan Time for me to just stand up, and travel new land Time to really just take matters into my own hands Once I'm over these tracks man I'mma never look back (8 Mile Road) And I'm gone, I know right where I'm goin Sorry momma I'm grown, I must travel alone Ain't gon' follow the footsteps I'm makin' my own Only way that I know how to escape from this 8 Mile Road I'm walkin' these train tracks, tryin' to regain back The spirit I had 'fore I go back to the same crap To the same plant, in the same pants Tryin' to chase rap, gotta move ASAP And get a new plan, momma's got a new man Poor little baby sister, she don't understand Sits in front of the TV, buries her nose in the pad And just colors until the crayon gets dull in her hand While she colors her big brother and mother and dad Ain't no tellin' what really goes on in her little head Wish I could be the daddy that neither one of us had But I keep runnin' from somethin' I never wanted so bad! Sometimes I get upset, cause I ain't blew up yet It's like I grew up, but I ain't grow me two nuts yet Don't gotta rep my step, don't got enough pep The pressure's too much man, I'm just tryin' to do what's best And I try, sit alone and I cry Yo I won't tell no lie, not a moment goes by That I don't pray to the sky, please I'm beggin' you God Please don't let me be pigeonholed in no regular job Yo I hope you can hear me homey wherever you are Yo I'm tellin' you dawg I'm bailin' this trailer tomorrow Tell my mother I love her, kiss baby sister goodbye Say whenever you need me baby, I'm never too far But yo I gotta get out there, the only way I know And I'mma be back for you, the second that I blow On everything I own, I'll make it on my own Off to work I go, back to this 8 Mile Road I'm a man, I'mma make a new plan Time for me to just stand up, and travel new land Time to really just take matters into my own hands Once I'm over these tracks man I'mma never look back (8 Mile Road) And I'm gone, I know right where I'm goin Sorry momma I'm grown, I must travel alone Ain't gon' follow the footsteps I'm makin' my own Only way that I know how to escape from this 8 Mile Road You gotta live it to feel it, you didn't you wouldn't get it Or see what the big deal is, why it was and it still is To be walkin this borderline of Detroit city limits It's different, it's a certain significance, a certificate Of authenticity, you'd never even see But it's everything to me, it's my credibility You never seen heard smelled or met a real MC Who's incredible upon the same pedestal as me But yet I'm still unsigned, havin' a rough time Sit on the porch with all my friends and kick dumb rhymes Go to work and serve MCs in the lunchline But when it comes crunch time, where do my punchlines go? Who must I show, to bust my flow? Where must I go? Who must I know? Or am I just another crab in the bucket? Cause I ain't havin' no luck with this little Rabbit so fuck it Maybe I need a new outlet, I'm startin to doubt shit I'm feelin' a little skeptical who I hang out with I look like a bum, yo my clothes ain't about shit At the Salvation Army tryin to salvage an outfit And it's cold, tryin' to travel this road Plus I feel like I'm on stuck in this battlin mode My defenses are so up, but one thing I don't want Is pity from no one, the city is no fun There is no sun, and it's so dark Sometimes I feel like I'm just bein' pulled apart From each one of my limbs, by each one of my friends It's enough to just make me wanna jump out of my skin Sometimes I feel like a robot, sometimes I just know not What I'm doin I just blow, my head is a stove top I just explode, the kettle gets so hot Sometimes my mouth just overloads the ass that I don't got But I've learned, it's time for me to U-turn Yo it only takes one time for me to get burned Ain't no fallin' no next time I meet a new girl I can no longer play stupid or be immature I got every ingredient, all I need is the courage Like I already got the beat, all I need is the words Got the urge, suddenly it's a surge Suddenly a new burst of energy has occurred Time to show these free world leaders the 3 and a third I am no longer scared now, I'm free as a bird Then I turn and cross over the median curb Hit the 'burbs and all you see is a blur from 8 Mile Road I'm a man, I'mma make a new plan Time for me to just stand up, and travel new land Time to really just take matters into my own hands Once I'm over these tracks man I'mma never look back (8 Mile Road) And I'm gone, I know right where I'm goin Sorry momma I'm grown, I must travel alone Ain't gon' follow the footsteps I'm makin' my own Only way that I know how to escape from this 8 Mile Road";Eminem - 8 Mile
9;http://www.metrolyrics.com/8-mile-freestyle-ptiii-vs-lyrics-eminem.html;"Now everybody from the 313 Put your mother fucking hands up and follow me Everybody from the 313 Put your mother fucking hands uplook, look Now while he stands tough Notice that this man did not have his hands up This free world's got you gassed up Now who's afraid of the big bad wolf 1, 2, 3 and to the 4 1Pac, 2Pac, 3Pac, 4 4Pac, 3Pac, 2Pacs, 1 You're Pac, he's Pac, Yo Pac; none This guy aint no mother-fuckin MC, I know everything he's bout to say against me, I am white, I am a fucking bum I do live in a trailer with my mom My boy Future is an Uncle Tom. I do got a dumb friend named Cheddar Bob Who shoots himself in his leg with his own gun, I did get jumped, by all six of you chumps And Wink did fuck my girl I'm still standin here screamin ""FUCK THE FREE WORLD!"" Don't never try to judge me dude You don't know what the fuck I've been through But I know something about you You went to Cranbrook, that's a private school What's the matter dawg, you embarrassed? This guy's a gangster; his real name's Clarence And Clarence lives at home with both parents And Clarence's parents have a real good marriage This guy don't wanna battle, he's shook 'Cause ain't no such things as half-way crooks' He's scared to death, he's scared to look at his fucking yearbook, fuck Cranbrook Fuck a beat, I go a cappella Fuck a Papa Doc, fuck a clock, fuck a trailer, fuck everybody Fuck y'all if you doubt me I'm a piece of fucking white trash, I say it proudly And fuck this battle, I don't wanna win, I'm outtie, Here, tell these people something they don't know about me.";Eminem - 8 Mile Freestyle Pt.III Vs
